input,domain,instagram,is_shopify,store_name,product_count,founder_name,email,about_url,is_us,us_reason,solo_score,solo_reason,score,status,checked_at,phone,linkedin,facebook,tiktok,contact_form_url,contact_url,compliment,source
"morvyn.com","morvyn.com","",1,"Morvyn",7,"","support@morvyn.com","",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",46,"done","2026-06-14T13:06:47.486Z","","","","","https://morvyn.com/","https://morvyn.com/pages/contact","Morvyn has a great focused product range that feels very intentional.","plus.html"
"breathalyzer.ca","breathalyzer.ca","",1,"American ExpressApple PayDiners ClubDiscoverGoogle PayMastercardShop PayVisa",21,"","support@breathalyzer.ca","https://www.breathalyzer.ca/pages/about",1,"page USD only (+10); US address format (+10); US phone format (+8)",0,"singular ratio 0.03 too low (+0)",46,"done","2026-06-14T13:06:54.951Z","+18773346876","","https://www.facebook.com/Breathalyzer.ca","","https://www.breathalyzer.ca/","https://www.breathalyzer.ca/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"trycelara.com","trycelara.com","",1,"Celara",11,"","support@celara.zendesk.com","",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",46,"done","2026-06-14T13:06:54.877Z","","","https://www.facebook.com/settings/?tab=ads","","https://trycelara.com/","https://trycelara.com/pages/contact","Celara has a great focused product range that feels very intentional.","plus.html"
"eatjoonfoods.com","eatjoonfoods.com","https://www.instagram.com/eatjoonfoods/",1,"Joon Pistachios",7,"","hello@eatjoonfoods.com","https://eatjoonfoods.com/pages/about",1,"meta currency USD (+20)",0,"singular ratio 0.04 too low (+0)",46,"done","2026-06-14T13:07:22.249Z","","","","","https://eatjoonfoods.com/","https://eatjoonfoods.com/pages/contact","Joon Pistachios has a great focused product range that feels very intentional.","plus.html"
"soliswifi.co","soliswifi.co","",1,"SIMO",25,"","support@skyroam.com","https://on.simo.co/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.11 too low (+0)",46,"done","2026-06-14T13:07:40.557Z","","","","","https://on.simo.co/","","SIMO has a great focused product range that feels very intentional.","plus.html"
"cdxx-dispensary.com","cdxx-dispensary.com","https://www.instagram.com/cdxx_dispensary/",1,"CDXX Dispensary",22,"","info@1o1development.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.05 too low (+0)",46,"done","2026-06-14T13:07:42.879Z","+15559876543","","https://www.facebook.com/share/1HpJi1tVXv/?mibextid=wwXIfr","https://www.tiktok.com/@cdxx919","https://cdxx-dispensary.com/","https://cdxx-dispensary.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"getalphatouch.com","getalphatouch.com","https://www.instagram.com/tryalphatouch",1,"AlphaTouch",15,"","info@alphatouch.com","",1,"meta currency USD (+20)",0,"singular ratio 0.18 too low (+0)",46,"done","2026-06-14T13:07:48.965Z","","","https://www.facebook.com/tryalphatouch","","https://alphatouch.com/","https://alphatouch.com/pages/contact","AlphaTouch has a great focused product range that feels very intentional.","plus.html"
"calabasasridge.com","calabasasridge.com","",1,"Calabasas Ridge",10,"","info@CalabasasRidge.com","",1,"meta currency USD (+20); US phone format (+8)",0,"too few pronouns to score ratio",46,"done","2026-06-14T13:07:55.440Z","+13105975000","","//www.facebook.com/sharer.php?u=https://calabasasridge.com/products/shirt","","https://calabasasridge.com/","","Calabasas Ridge has a great focused product range that feels very intentional.","plus.html"
"flattummytea.com","flattummytea.com","https://www.instagram.com/flattummyco/",1,"Flat Tummy Co",24,"","getflat@flattummyco.com","",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.12 too low (+0)",46,"done","2026-06-14T13:08:18.120Z","","","https://www.facebook.com/FlatTummyCo/","https://www.tiktok.com/@flattummyco","https://flattummyco.com/","https://flattummyco.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"colorx-change.com","colorx-change.com","https://www.instagram.com/colorx_change/",1,"Color X-Change",8,"","help@colorx-change.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.00 too low (+0)",46,"done","2026-06-14T13:08:23.821Z","+13179821274","","https://www.facebook.com/colorxchangehair/","","https://colorx-change.com/","https://colorx-change.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"seedling.com","seedling.com","https://www.instagram.com/seedling/",1,"Seedling",1,"","info@seedlingusa.com","",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",46,"done","2026-06-14T13:08:28.068Z","","","http://facebook.com/shopseedling","","https://www.seedling.com/","https://www.seedling.com/pages/contact-us/","Seedling has a great focused product range that feels very intentional.","plus.html"
"thelovelines.com","thelovelines.com","",1,"Love Lines",8,"","contact@facecandles.com","https://thelovelines.com/pages/our-story",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.01 too low (+0)",46,"done","2026-06-14T13:08:30.869Z","+18555881283","","","","https://thelovelines.com/","","Your hand-poured approach to making products really stands out — that kind of care is rare to see.","plus.html"
"cinnamonstall.com","cinnamonstall.com","",1,"Cinnamon Stall",2,"","info.cinnamonastall@gmail.com","",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",46,"done","2026-06-14T13:08:33.799Z","","","","","https://www.cinnamonstall.com/","","Cinnamon Stall has a great focused product range that feels very intentional.","plus.html"
"ballwash.com","ballwash.com","https://www.instagram.com/ballwash/",1,"Ballsy",10,"","help@ballsybrand.com","https://ballwash.com/pages/about-us",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.12 too low (+0)",46,"done","2026-06-14T13:08:34.645Z","","","https://www.facebook.com/ballwash","https://www.tiktok.com/@ballsybrand?lang=en","https://ballwash.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"doublemossarte.com","doublemossarte.com","https://www.instagram.com/doublemoss_arte/",1,"Doublemoss Arte",18,"","policy@doublemossarte.com","",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.02 too low (+0)",46,"done","2026-06-14T13:08:40.948Z","","","","","https://doublemossarte.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"wexelart.com","wexelart.com","https://www.instagram.com/wexelart/",1,"Wexel Art",234,"","609-1920info@wexelart.com","https://wexelart.com/pages/about-us",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",5,"singular ratio 0.27 too low (+0); maker words ×1 (+5)",43,"done","2026-06-14T13:06:08.789Z","+18776091920","","https://www.facebook.com/WexelArt","","https://wexelart.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"scoutbackcountry.com","scoutbackcountry.com","https://www.instagram.com/skoutorganic/",1,"Skout Organic",161,"","social@skoutorganic.com","https://www.skoutorganic.com/pages/about-us",1,"meta currency USD (+20)",5,"singular ratio 0.20 too low (+0); maker words ×1 (+5)",43,"done","2026-06-14T13:07:39.373Z","","","https://www.facebook.com/skoutorganic","","https://www.skoutorganic.com/","https://www.skoutorganic.com/pages/contact-us","Your small batch approach to making products really stands out — that kind of care is rare to see.","plus.html"
"drinkwildbills.com","drinkwildbills.com","https://www.instagram.com/wildbillssoda",1,"Wild Bill's Craft Beverage Co.",46,"","Hello@WildBillsSoda.com","https://drinkwildbills.com/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.27 too low (+0)",41,"done","2026-06-14T13:05:52.998Z","","","https://www.facebook.com/wildbillssoda","","https://drinkwildbills.com/","https://drinkwildbills.com/pages/contact","Wild Bill's Craft Beverage Co. has a great focused product range that feels very intentional.","plus.html"
"hookandalbert.com","hookandalbert.com","",1,"HOOK & ALBERT",39,"","support@hookandalbert.com","",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.10 too low (+0)",41,"done","2026-06-14T13:05:55.451Z","","","","","https://www.hookandalbert.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"blingchemicals.com","blingchemicals.com","https://www.instagram.com/blingchemicals/?hl=en",1,"Bling Chemicals",43,"","Supportbling@blingchemicals.com","https://blingchemicals.com/pages/about",1,"meta currency USD (+20)",0,"singular ratio 0.03 too low (+0)",41,"done","2026-06-14T13:06:26.302Z","","","https://www.facebook.com/blingchemicals/","https://www.tiktok.com/@blingchemicals.com?lang=en","https://blingchemicals.com/","https://blingchemicals.com/pages/contact","Bling Chemicals has a great focused product range that feels very intentional.","plus.html"
"newunivera.com","newunivera.com","https://www.instagram.com/univeraofficial/",1,"Univera Inc. ",59,"","customercare@newunivera.com","",1,"meta currency USD (+20); US phone format (+8)",0,"singular ratio 0.15 too low (+0); team page found (-10)",41,"done","2026-06-14T13:06:40.539Z","+18776274787","","https://www.facebook.com/univeraofficial/","https://www.tiktok.com/@univerainc","https://newunivera.com/","https://newunivera.com/pages/contact","Univera Inc.  has a great focused product range that feels very intentional.","plus.html"
"shopcurrentair.com","shopcurrentair.com","https://www.instagram.com/current_air/",1,"CURRENT AIR",38,"","customerservice@shopcurrentair.com","https://shopcurrentair.com/pages/our-story",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",41,"done","2026-06-14T13:06:47.736Z","","","https://www.facebook.com/currentairclothing","","https://shopcurrentair.com/","","CURRENT AIR has a great focused product range that feels very intentional.","plus.html"
"marlenespetshop.com","marlenespetshop.com","https://instagram.com/marlenespetshop",1,"Marlene's Pet Shop",94,"","help@marlenespetshop.com","",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",41,"done","2026-06-14T13:07:07.206Z","","","https://facebook.com/marlenespetshop","","https://marlenespetshop.com/","https://marlenespetshop.com/pages/contact","Marlene's Pet Shop has a great focused product range that feels very intentional.","plus.html"
"tphbytaraji.com","tphbytaraji.com","https://www.instagram.com/tphbytaraji/",1,"TPHBYTARAJI",31,"","privacy@tphbytaraji.com","https://tphbytaraji.com/pages/about-us",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.02 too low (+0)",41,"done","2026-06-14T13:08:17.534Z","","","https://www.facebook.com/TPHbyTaraji/","","https://tphbytaraji.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"appaman.com","appaman.com","https://www.instagram.com/appaman/",1,"Appaman",250,"","support@appaman.com","https://www.appaman.com/collections/new-arrivals",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.06 too low (+0)",38,"done","2026-06-14T13:06:08.519Z","+17971854441","https://www.linkedin.com/company/appaman-inc/","https://www.facebook.com/AppamanKids/","","https://www.appaman.com/","https://www.appaman.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"trekbikesflorida.com","trekbikesflorida.com","https://www.instagram.com/trekbikesflorida/",1,"Trek Bicycle Stores of Florida",250,"","orders@trekbikesflorida.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.00 too low (+0)",38,"done","2026-06-14T13:06:16.055Z","+12393909909","","https://www.facebook.com/trekbikesflorida/","","https://trekbikesflorida.com/","https://trekbikesflorida.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"veinci.com","veinci.com","https://www.instagram.com/veincijewelry",1,"Veinci",250,"our","support@veinci.com","https://veinci.com/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.02 too low (+0); single founder named, no co-founder (+10); team page found (-10)",38,"done","2026-06-14T13:06:17.599Z","","","https://www.facebook.com/VeinciJewelry","","https://veinci.com/","https://veinci.com/pages/contact","The founder story on your about page is genuinely refreshing — making each piece yourself is rare.","plus.html"
"andlivy.com","andlivy.com","https://www.instagram.com/andlivy/",1,"&LIVY",250,"","CustomerService@andlivy.com","",1,"meta currency USD (+20)",0,"singular ratio 0.07 too low (+0)",38,"done","2026-06-14T13:06:24.713Z","+18339233056","","https://www.facebook.com/andlivy","https://www.tiktok.com/@andlivy","https://andlivy.com/","https://andlivy.com/pages/contact","&LIVY has a great focused product range that feels very intentional.","plus.html"
"helenficalora.com","helenficalora.com","https://www.instagram.com/helenficalora/?hl=en",1,"Helen Ficalora",250,"","info@helenficalora.com","https://helenficalora.com/pages/our-story",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.16 too low (+0)",38,"done","2026-06-14T13:06:32.999Z","+18777542676","","https://www.facebook.com/helenficalora","","https://helenficalora.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"prnvision.com","prnvision.com","https://www.instagram.com/eyepromise_official",1,"EyePromise",121,"","support@eyepromise.com","https://eyepromise.com/pages/about",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.11 too low (+0)",38,"done","2026-06-14T13:06:41.741Z","+18009002303","https://www.linkedin.com/company/zeavision-llc/","https://www.facebook.com/eyepromiseofficial","https://www.tiktok.com/@eyepromise","","https://eyepromise.com/pages/contact","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"heartfieldfloristtx.com","heartfieldfloristtx.com","https://www.instagram.com/heartfields1957/",1,"Heartfield Florist",250,"","heartfieldflorist@yahoo.com","https://heartfieldfloristtx.com/pages/about-us",1,"meta currency USD (+20); US phone format (+8)",0,"singular ratio 0.02 too low (+0)",38,"done","2026-06-14T13:06:44.866Z","+19362955448","","https://www.facebook.com/heartfields","","https://heartfieldfloristtx.com/","https://heartfieldfloristtx.com/pages/contact","Heartfield Florist has a great focused product range that feels very intentional.","plus.html"
"robinscornerflowershop.com","robinscornerflowershop.com","https://www.instagram.com/robinscornerflower/",1,"Robin's Corner Flower Shop",250,"","robinsflowers1@gmail.com","https://robinscornerflowershop.com/pages/about-us",1,"meta currency USD (+20); US phone format (+8)",0,"singular ratio 0.02 too low (+0)",38,"done","2026-06-14T13:06:57.789Z","+15088242821","","https://www.facebook.com/profile.php?id=100063716196095","","https://robinscornerflowershop.com/","https://robinscornerflowershop.com/pages/contact","Robin's Corner Flower Shop has a great focused product range that feels very intentional.","plus.html"
"hoopcultureteamstores.com","hoopcultureteamstores.com","",1,"Hoop Culture Team Store",154,"","teamsales@hoopculture.com","https://hoopcultureteamstores.com/pages/about",1,"meta currency USD (+20)",0,"singular ratio 0.21 too low (+0)",38,"done","2026-06-14T13:07:04.430Z","","","","","https://hoopcultureteamstores.com/","","Hoop Culture Team Store has a great focused product range that feels very intentional.","plus.html"
"demodemode.net","demodemode.net","https://www.instagram.com/demodemode_/",1,"DémodéMODÉ",200,"","SUPPORThello@demodemode.com","https://demodemode.com/pages/about",1,"meta currency USD (+20)",0,"singular ratio 0.05 too low (+0)",38,"done","2026-06-14T13:07:14.994Z","","","","https://www.tiktok.com/@demodemode_official","https://demodemode.com/","https://demodemode.com/pages/contact","DémodéMODÉ has a great focused product range that feels very intentional.","plus.html"
"blossombelleflorist.com","blossombelleflorist.com","",1,"Blossom And Belle",250,"","contact_us@blossombelleflorist.com","https://blossombelleflorist.com/pages/about-us",1,"meta currency USD (+20); US phone format (+8)",0,"singular ratio 0.02 too low (+0)",38,"done","2026-06-14T13:07:22.192Z","+13214401351","","https://www.facebook.com/settings/?tab=ads","","https://blossombelleflorist.com/","https://blossombelleflorist.com/pages/contact","Blossom And Belle has a great focused product range that feels very intentional.","plus.html"
"cashcartishop.com","cashcartishop.com","https://www.instagram.com/playboicarti/?hl=en",1,"Playboi Carti | Shop",107,"","privacy.officer@umusic.com","",1,"meta currency USD (+20); US address format (+10); US phone format (+8)",0,"singular ratio 0.08 too low (+0)",38,"done","2026-06-14T13:07:28.290Z","+18666824413","","https://www.facebook.com/PlayboiCarti/","","https://shop.playboicarti.com/","","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"wsisports.com","wsisports.com","http://instagram.com/shopify",1,"WSI Sportswear",250,"","info@wsisports.com","",1,"meta currency USD (+20); US address format (+10)",0,"singular ratio 0.50 0.4–0.6 (+10); team page found (-10)",38,"done","2026-06-14T13:07:30.708Z","+16519949945","","http://facebook.com/shopify","https://tiktok.com/@shopify","https://wsisports.com/","https://wsisports.com/pages/contact-us","Love that you're a US-based small business — that personal touch really comes through on your site.","plus.html"
"brinnova.com","brinnova.com","",1,"Brinnova",250,"","info@brinnova.com","https://www.brinnova.com/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",38,"done","2026-06-14T13:07:37.314Z","+14088829092","","","","https://www.brinnova.com/","","Brinnova has a great focused product range that feels very intentional.","plus.html"
"maga-social.com","maga-social.com","",1,"maga-social",1,"","","",1,"meta currency USD (+20)",0,"singular ratio 0.10 too low (+0)",38,"done","2026-06-14T13:07:47.084Z","","","","","https://maga-social.com/","","maga-social has a great focused product range that feels very intentional.","plus.html"
"englishelm.com","englishelm.com","https://www.instagram.com/englishelmfurniture/",1,"English Elm",250,"","claims@englishelm.com","",1,"meta currency USD (+20)",0,"singular ratio 0.09 too low (+0)",38,"done","2026-06-14T13:07:49.097Z","","","https://www.facebook.com/englishelm1","","https://englishelm.com/","","English Elm has a great focused product range that feels very intentional.","plus.html"
"avaniscreations.com","avaniscreations.com","",1,"Avani's Creations",250,"","avani.j.creations@gmail.com","",1,"meta currency USD (+20)",0,"singular ratio 0.05 too low (+0)",38,"done","2026-06-14T13:07:55.115Z","","","https://www.facebook.com/share/g/17PB9CLLws/","","https://avaniscreations.com/","","Avani's Creations has a great focused product range that feels very intentional.","plus.html"
"haitiandisplay.com","haitiandisplay.com","",1,"Haitian Display",126,"","info@haitiandisplay.com","https://www.haitiandisplay.com/pages/about-us",1,"meta currency USD (+20)",0,"singular ratio 0.00 too low (+0)",38,"done","2026-06-14T13:08:06.227Z","","","","","https://www.haitiandisplay.com/","","Haitian Display has a great focused product range that feels very intentional.","plus.html"
